Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;08 Castilla - La Mancha;2013;10,9
Total Nacional;08 Castilla - La Mancha;2012;7,8
Total Nacional;08 Castilla - La Mancha;2011;11,3
Total Nacional;08 Castilla - La Mancha;2010;13,3
Total Nacional;08 Castilla - La Mancha;2009;18,2
Total Nacional;08 Castilla - La Mancha;2008;18,5
Total Nacional;08 Castilla - La Mancha;2007;18,8
Total Nacional;08 Castilla - La Mancha;2006;18,9
Total Nacional;08 Castilla - La Mancha;2005;16,8
Total Nacional;08 Castilla - La Mancha;2004;15,1
Total Nacional;09 Cataluña;2020;19,5
Total Nacional;09 Cataluña;2019;14,9
Total Nacional;09 Cataluña;2018;15,2
Total Nacional;09 Cataluña;2017;13,5
Total Nacional;09 Cataluña;2016;14,6
Total Nacional;09 Cataluña;2015;16,5
Total Nacional;09 Cataluña;2014;15,0
Total Nacional;09 Cataluña;2013;20,0
Total Nacional;09 Cataluña;2012;14,6
Total Nacional;09 Cataluña;2011;13,1
Total Nacional;09 Cataluña;2010;23,0
Total Nacional;09 Cataluña;2009;25,7
Total Nacional;09 Cataluña;2008;22,8
Total Nacional;09 Cataluña;2007;26,1
Total Nacional;09 Cataluña;2006;27,3
Total Nacional;09 Cataluña;2005;29,6
Total Nacional;09 Cataluña;2004;27,0
Total Nacional;10 Comunitat Valenciana;2020;26,0
Total Nacional;10 Comunitat Valenciana;2019;14,1
Total Nacional;10 Comunitat Valenciana;2018;21,7
Total Nacional;10 Comunitat Valenciana;2017;21,3
Total Nacional;10 Comunitat Valenciana;2016;21,1
Total Nacional;10 Comunitat Valenciana;2015;22,6
Total Nacional;10 Comunitat Valenciana;2014;19,3
Total Nacional;10 Comunitat Valenciana;2013;18,1
Total Nacional;10 Comunitat Valenciana;2012;21,5
Total Nacional;10 Comunitat Valenciana;2011;18,1
Total Nacional;10 Comunitat Valenciana;2010;22,3
Total Nacional;10 Comunitat Valenciana;2009;26,8
Total Nacional;10 Comunitat Valenciana;2008;33,0
Total Nacional;10 Comunitat Valenciana;2007;35,0
Total Nacional;10 Comunitat Valenciana;2006;32,1
Total Nacional;10 Comunitat Valenciana;2005;39,1
Total Nacional;10 Comunitat Valenciana;2004;30,1
Total Nacional;11 Extremadura;2020;11,5
Total Nacional;11 Extremadura;2019;6,5
Total Nacional;11 Extremadura;2018;4,4
Total Nacional;11 Extremadura;2017;10,8
Total Nacional;11 Extremadura;2016;15,9
Total Nacional;11 Extremadura;2015;19,2
Total Nacional;11 Extremadura;2014;15,6
Total Nacional;11 Extremadura;2013;17,6
Total Nacional;11 Extremadura;2012;6,1
Total Nacional;11 Extremadura;2011;16,7
Total Nacional;11 Extremadura;2010;24,3
Total Nacional;11 Extremadura;2009;17,3
Total Nacional;11 Extremadura;2008;18,0
Total Nacional;11 Extremadura;2007;19,8
Total Nacional;11 Extremadura;2006;14,3
Total Nacional;11 Extremadura;2005;23,9
Total Nacional;11 Extremadura;2004;22,4
Total Nacional;12 Galicia;2020;13,5
Total Nacional;12 Galicia;2019;6,4
Total Nacional;12 Galicia;2018;9,8
