Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;07 Castilla y León;2007;21,0
Total Nacional;07 Castilla y León;2006;..
Total Nacional;07 Castilla y León;2005;21,2
Total Nacional;07 Castilla y León;2004;17,0
Total Nacional;08 Castilla - La Mancha;2022;9,9
Total Nacional;08 Castilla - La Mancha;2021;9,6
Total Nacional;08 Castilla - La Mancha;2020;10,1
Total Nacional;08 Castilla - La Mancha;2019;9,7
Total Nacional;08 Castilla - La Mancha;2018;11,3
Total Nacional;08 Castilla - La Mancha;2017;11,7
Total Nacional;08 Castilla - La Mancha;2016;10,0
Total Nacional;08 Castilla - La Mancha;2015;11,8
Total Nacional;08 Castilla - La Mancha;2014;12,9
Total Nacional;08 Castilla - La Mancha;2013;13,0
Total Nacional;08 Castilla - La Mancha;2012;12,7
Total Nacional;08 Castilla - La Mancha;2011;14,3
Total Nacional;08 Castilla - La Mancha;2010;16,8
Total Nacional;08 Castilla - La Mancha;2009;15,0
Total Nacional;08 Castilla - La Mancha;2008;16,0
Total Nacional;08 Castilla - La Mancha;2007;17,0
Total Nacional;08 Castilla - La Mancha;2006;..
Total Nacional;08 Castilla - La Mancha;2005;..
Total Nacional;08 Castilla - La Mancha;2004;..
Total Nacional;09 Cataluña;2022;14,5
Total Nacional;09 Cataluña;2021;12,7
Total Nacional;09 Cataluña;2020;13,1
Total Nacional;09 Cataluña;2019;15,6
Total Nacional;09 Cataluña;2018;14,5
Total Nacional;09 Cataluña;2017;15,2
Total Nacional;09 Cataluña;2016;14,0
Total Nacional;09 Cataluña;2015;17,0
Total Nacional;09 Cataluña;2014;14,0
Total Nacional;09 Cataluña;2013;14,9
Total Nacional;09 Cataluña;2012;18,3
Total Nacional;09 Cataluña;2011;17,8
Total Nacional;09 Cataluña;2010;15,9
Total Nacional;09 Cataluña;2009;17,3
Total Nacional;09 Cataluña;2008;19,7
Total Nacional;09 Cataluña;2007;23,8
Total Nacional;09 Cataluña;2006;29,0
Total Nacional;09 Cataluña;2005;..
