Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;07 Castilla y León;2009;22,2
Total Nacional;07 Castilla y León;2008;23,4
Total Nacional;07 Castilla y León;2007;26,4
Total Nacional;07 Castilla y León;2006;29,7
Total Nacional;07 Castilla y León;2005;30,7
Total Nacional;07 Castilla y León;2004;33,3
Total Nacional;08 Castilla - La Mancha;2022;29,2
Total Nacional;08 Castilla - La Mancha;2021;24,9
Total Nacional;08 Castilla - La Mancha;2020;23,7
Total Nacional;08 Castilla - La Mancha;2019;24,2
Total Nacional;08 Castilla - La Mancha;2018;24,9
Total Nacional;08 Castilla - La Mancha;2017;28,4
Total Nacional;08 Castilla - La Mancha;2016;25,7
Total Nacional;08 Castilla - La Mancha;2015;28,4
Total Nacional;08 Castilla - La Mancha;2014;22,7
Total Nacional;08 Castilla - La Mancha;2013;22,0
Total Nacional;08 Castilla - La Mancha;2012;27,0
Total Nacional;08 Castilla - La Mancha;2011;25,2
Total Nacional;08 Castilla - La Mancha;2010;24,6
Total Nacional;08 Castilla - La Mancha;2009;30,0
Total Nacional;08 Castilla - La Mancha;2008;28,4
Total Nacional;08 Castilla - La Mancha;2007;37,9
Total Nacional;08 Castilla - La Mancha;2006;44,2
Total Nacional;08 Castilla - La Mancha;2005;43,6
Total Nacional;08 Castilla - La Mancha;2004;44,1
Total Nacional;09 Cataluña;2022;24,7
Total Nacional;09 Cataluña;2021;21,9
Total Nacional;09 Cataluña;2020;21,8
Total Nacional;09 Cataluña;2019;24,7
Total Nacional;09 Cataluña;2018;23,2
Total Nacional;09 Cataluña;2017;24,9
Total Nacional;09 Cataluña;2016;23,8
Total Nacional;09 Cataluña;2015;27,2
Total Nacional;09 Cataluña;2014;23,5
Total Nacional;09 Cataluña;2013;23,0
Total Nacional;09 Cataluña;2012;28,8
Total Nacional;09 Cataluña;2011;29,6
Total Nacional;09 Cataluña;2010;27,9
Total Nacional;09 Cataluña;2009;35,7
Total Nacional;09 Cataluña;2008;37,1
Total Nacional;09 Cataluña;2007;43,5
Total Nacional;09 Cataluña;2006;47,9
Total Nacional;09 Cataluña;2005;44,8
Total Nacional;09 Cataluña;2004;41,1
Total Nacional;10 Comunitat Valenciana;2022;18,8
Total Nacional;10 Comunitat Valenciana;2021;16,2
Total Nacional;10 Comunitat Valenciana;2020;18,1
Total Nacional;10 Comunitat Valenciana;2019;20,3
Total Nacional;10 Comunitat Valenciana;2018;17,9
Total Nacional;10 Comunitat Valenciana;2017;19,4
Total Nacional;10 Comunitat Valenciana;2016;18,1
Total Nacional;10 Comunitat Valenciana;2015;20,8
Total Nacional;10 Comunitat Valenciana;2014;18,4
Total Nacional;10 Comunitat Valenciana;2013;16,9
Total Nacional;10 Comunitat Valenciana;2012;23,0
Total Nacional;10 Comunitat Valenciana;2011;21,2
Total Nacional;10 Comunitat Valenciana;2010;21,5
Total Nacional;10 Comunitat Valenciana;2009;22,7
Total Nacional;10 Comunitat Valenciana;2008;28,1
Total Nacional;10 Comunitat Valenciana;2007;33,2
Total Nacional;10 Comunitat Valenciana;2006;33,6
Total Nacional;10 Comunitat Valenciana;2005;33,9
Total Nacional;10 Comunitat Valenciana;2004;36,0
Total Nacional;11 Extremadura;2022;14,1
Total Nacional;11 Extremadura;2021;10,2
Total Nacional;11 Extremadura;2020;11,7
Total Nacional;11 Extremadura;2019;12,1
Total Nacional;11 Extremadura;2018;13,5
Total Nacional;11 Extremadura;2017;17,3
Total Nacional;11 Extremadura;2016;15,2
Total Nacional;11 Extremadura;2015;15,8
Total Nacional;11 Extremadura;2014;13,5
Total Nacional;11 Extremadura;2013;13,0
Total Nacional;11 Extremadura;2012;15,1
Total Nacional;11 Extremadura;2011;16,1
Total Nacional;11 Extremadura;2010;17,1
Total Nacional;11 Extremadura;2009;18,4
Total Nacional;11 Extremadura;2008;18,1
Total Nacional;11 Extremadura;2007;21,3
Total Nacional;11 Extremadura;2006;22,9
Total Nacional;11 Extremadura;2005;20,5
Total Nacional;11 Extremadura;2004;20,6
Total Nacional;12 Galicia;2022;18,7
Total Nacional;12 Galicia;2021;19,5
Total Nacional;12 Galicia;2020;20,2
Total Nacional;12 Galicia;2019;21,3
Total Nacional;12 Galicia;2018;21,5
Total Nacional;12 Galicia;2017;23,5
Total Nacional;12 Galicia;2016;17,8
Total Nacional;12 Galicia;2015;19,8
Total Nacional;12 Galicia;2014;20,5
Total Nacional;12 Galicia;2013;20,5
Total Nacional;12 Galicia;2012;24,9
Total Nacional;12 Galicia;2011;23,6
Total Nacional;12 Galicia;2010;19,0
Total Nacional;12 Galicia;2009;24,1
Total Nacional;12 Galicia;2008;23,2
Total Nacional;12 Galicia;2007;27,1
Total Nacional;12 Galicia;2006;32,0
Total Nacional;12 Galicia;2005;22,6
Total Nacional;12 Galicia;2004;..
Total Nacional;13 Madrid, Comunidad de;2022;20,9
Total Nacional;13 Madrid, Comunidad de;2021;19,0
Total Nacional;13 Madrid, Comunidad de;2020;17,7
Total Nacional;13 Madrid, Comunidad de;2019;18,0
Total Nacional;13 Madrid, Comunidad de;2018;18,5
Total Nacional;13 Madrid, Comunidad de;2017;21,1
Total Nacional;13 Madrid, Comunidad de;2016;19,7
Total Nacional;13 Madrid, Comunidad de;2015;21,4
